"SubNum","trial_n_block","character","response","respCat","corrCat","accuracy","cumAcc","cumAccBlock","cumAccbyChar","RT","corr_ans","trialNum","trialNbychar","listN","NfromChange","befAft","is_prev_optimal","isoptimal","probOptimal","probOptimalChar","iCP","iCP_opt","iCP_new","trialCond","image","recogAcc","confidence","association","RTrecog","corr_ans_assoc"
1,21,"m5",3,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.564102564102564,0.428571428571429,0.5,1.049,3,136,12,4,21,0,0,1,0.75,1,"afterCP","beforeCP","bef_cp",1,"jigsaw.jpg",0,2,"right",3.503,1
1,22,"m5",1,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.567796610169492,0.454545454545455,0.538461538461539,0.618,1,137,13,4,22,0,0,1,0.75,1,"afterCP","beforeCP","bef_cp",1,"level03a.jpg",1,4,"left",1.324,0
1,23,"m5",3,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.571428571428571,0.478260869565217,0.571428571428571,0.54,3,138,14,4,23,0,0,1,0.75,1,"afterCP","beforeCP","bef_cp",1,"toyhardhat.jpg",1,4,"right",0.89,1
1,24,"m2",1,"stimuli/Outdoor activity & sport item.png","Kitchen & utensil",0,0.566666666666667,0.458333333333333,0.3,1.158,2,139,10,4,24,0,0,0,0.5,0.25,"afterCP","beforeCP","bef_cp",1,"jar02.jpg",NA,NA,NA,0.817,NA
1,25,"m5",1,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.570247933884298,0.48,0.6,0.939,1,140,15,4,25,1,0,1,0.75,1,"afterCP","beforeCP","bef_cp",1,"drill01b.jpg",1,1,NA,1.473,NA
1,28,"m2",3,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.564516129032258,0.464285714285714,0.333333333333333,0.997,3,143,12,4,28,1,0,1,0.75,0.5,"afterCP","beforeCP","bef_cp",1,"saladspinner.jpg",1,3,"right",1.198,0
1,29,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.568,0.482758620689655,0.588235294117647,0.968,2,144,17,4,29,1,0,1,0.5,1,"afterCP","beforeCP","bef_cp",1,"knifesharpener.jpg",NA,NA,NA,0.817,NA
1,31,"m2",4,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.574803149606299,0.516129032258065,0.428571428571429,1.356,4,146,14,4,31,1,0,1,0.75,0.75,"afterCP","beforeCP","bef_cp",1,"thermos.jpg",0,3,NA,2.535,NA
1,32,"m2",3,"stimuli/Outdoor activity & sport item.png","Kitchen & utensil",0,0.5703125,0.5,0.4,0.835,2,147,15,4,32,1,0,0,0.75,0.5,"afterCP","beforeCP","bef_cp",1,"aluminiumfoil.jpg",NA,NA,NA,0.817,NA
1,33,"m5",3,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.573643410852713,0.515151515151515,0.611111111111111,0.869,3,148,18,4,33,1,0,1,1,1,"afterCP","beforeCP","bef_cp",1,"wateringcan.jpg",0,4,NA,0.779,NA
1,34,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.576923076923077,0.529411764705882,0.631578947368421,0.893,2,149,19,4,34,1,0,1,0.75,1,"afterCP","beforeCP","bef_cp",1,"gardenshears01a.jpg",1,3,"left",1.073,0
1,35,"m2",1,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.580152671755725,0.542857142857143,0.4375,1,1,150,16,4,35,1,0,1,0.75,0.75,"afterCP","beforeCP","bef_cp",1,"spoon01.jpg",0,1,NA,3.082,NA
1,36,"m2",3,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.583333333333333,0.555555555555556,0.470588235294118,1.068,3,151,17,4,36,1,0,1,0.75,0.75,"beforeCP","beforeCP","bef_cp",1,"corkscrew03a.jpg",1,2,NA,1.27,NA
1,37,"m2",1,"stimuli/Hand labour tool & accessory.png","Kitchen & utensil",0,0.578947368421053,0.540540540540541,0.444444444444444,0.833,3,152,18,4,37,1,0,0,0.75,0.75,"afterCP","beforeCP","bef_cp",1,"bottlecap.jpg",NA,NA,NA,0.817,NA
1,38,"m2",4,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.582089552238806,0.552631578947368,0.473684210526316,0.819,4,153,19,4,38,1,0,1,1,1,"beforeCP","beforeCP","bef_cp",1,"pot01.jpg",1,1,NA,1.032,NA
